,angular,backbone,bootstrap,jquery,node,underscore
1limburg.nl,0.0,0.0,0.0,0.0,0.0,0.0
9292.nl,0.0,0.0,0.0,1.0,0.0,0.0
Abnamro.nl,0.0,0.0,0.0,1.0,0.0,0.0
Action.nl,0.0,0.0,0.0,1.0,0.0,0.0
Ad.nl,0.0,0.0,0.0,0.0,0.0,0.0
Adidas.nl,0.0,0.0,0.0,1.0,0.0,0.0
Ah.nl,0.0,0.0,1.0,0.0,0.0,0.0
Airbnb.nl,0.0,0.0,0.0,1.0,0.0,0.0
Amsterdam.nl,0.0,0.0,0.0,1.0,0.0,0.0
Anwb.nl,0.0,0.0,0.0,0.0,0.0,0.0
Asnbank.nl,0.0,0.0,0.0,1.0,0.0,0.0
At5.nl,0.0,0.0,0.0,1.0,0.0,0.0
Autoscout24.nl,0.0,0.0,0.0,0.0,1.0,0.0
Autotrack.nl,0.0,0.0,0.0,0.0,0.0,0.0
Autotrader.nl,0.0,0.0,0.0,1.0,0.0,0.0
Autoweek.nl,0.0,0.0,0.0,0.0,0.0,0.0
Autowereld.nl,0.0,0.0,0.0,0.0,0.0,0.0
Avans.nl,0.0,0.0,1.0,1.0,0.0,0.0
Avrotros.nl,0.0,0.0,0.0,1.0,0.0,0.0
Bax-shop.nl,0.0,0.0,0.0,1.0,1.0,0.0
Bcc.nl,0.0,0.0,0.0,0.0,0.0,0.0
Bd.nl,0.0,0.0,0.0,1.0,0.0,0.0
Belastingdienst.nl,0.0,0.0,0.0,1.0,0.0,0.0
Belsimpel.nl,0.0,0.0,0.0,0.0,0.0,0.0
Beslist.nl,0.0,0.0,0.0,0.0,0.0,0.0
Binck.nl,0.0,0.0,0.0,0.0,0.0,0.0
Blokker.nl,0.0,0.0,0.0,1.0,0.0,0.0
Bndestem.nl,0.0,0.0,1.0,1.0,0.0,0.0
Bodyenfitshop.nl,0.0,0.0,0.0,0.0,0.0,0.0
Bokt.nl,0.0,0.0,0.0,1.0,0.0,0.0
Bonprix.nl,0.0,0.0,0.0,1.0,0.0,0.0
Buckaroo.nl,0.0,0.0,1.0,0.0,0.0,0.0
Buienradar.nl,0.0,0.0,0.0,0.0,0.0,0.0
Catawiki.nl,0.0,0.0,1.0,1.0,0.0,0.0
Cheaptickets.nl,0.0,0.0,0.0,0.0,0.0,0.0
Conrad.nl,0.0,0.0,0.0,0.0,0.0,0.0
Consumentenbond.nl,0.0,0.0,0.0,0.0,0.0,0.0
Coolblue.nl,0.0,0.0,0.0,1.0,0.0,0.0
Corendon.nl,0.0,0.0,0.0,0.0,0.0,0.0
Cz.nl,0.0,0.0,0.0,0.0,0.0,0.0
D-reizen.nl,0.0,0.0,0.0,1.0,0.0,0.0
Datumprikker.nl,0.0,0.0,0.0,0.0,0.0,0.0
Debijenkorf.nl,0.0,0.0,0.0,0.0,0.0,0.0
Decathlon.nl,0.0,0.0,0.0,1.0,0.0,0.0
Destentor.nl,0.0,0.0,0.0,1.0,0.0,0.0
Detelefoongids.nl,0.0,0.0,0.0,0.0,0.0,0.0
Dhlparcel.nl,0.0,0.0,0.0,0.0,0.0,0.0
Digid.nl,0.0,0.0,0.0,1.0,0.0,0.0
Drimble.nl,0.0,0.0,0.0,0.0,0.0,0.0
Dumpert.nl,0.0,0.0,0.0,0.0,0.0,0.0
Duo.nl,0.0,0.0,0.0,1.0,0.0,0.0
Ebay.nl,0.0,0.0,0.0,0.0,0.0,0.0
Eduroute.nl,0.0,0.0,0.0,1.0,0.0,0.0
Ek2016-frankrijk.nl,0.0,0.0,0.0,1.0,0.0,0.0
Elsevier.nl,0.0,0.0,0.0,0.0,0.0,0.0
Encyclo.nl,0.0,0.0,0.0,1.0,0.0,0.0
Esprit.nl,0.0,1.0,0.0,1.0,0.0,1.0
Essent.nl,0.0,0.0,0.0,1.0,0.0,0.0
Eur.nl,0.0,0.0,1.0,1.0,0.0,0.0
Exactonline.nl,0.0,0.0,0.0,0.0,0.0,0.0
Expedia.nl,0.0,0.0,0.0,1.0,0.0,0.0
Fd.nl,0.0,0.0,0.0,0.0,0.0,0.0
Fok.nl,0.0,0.0,0.0,0.0,0.0,0.0
Fonq.nl,0.0,0.0,0.0,0.0,0.0,0.0
Fontys.nl,0.0,0.0,0.0,0.0,0.0,0.0
Funda.nl,0.0,0.0,0.0,0.0,0.0,0.0
Funnygames.nl,0.0,0.0,0.0,1.0,0.0,0.0
Gamma.nl,0.0,0.0,0.0,1.0,0.0,0.0
Gaspedaal.nl,0.0,0.0,0.0,0.0,0.0,0.0
Geenstijl.nl,0.0,0.0,0.0,0.0,0.0,0.0
Gelderlander.nl,0.0,0.0,0.0,1.0,0.0,0.0
Goeievraag.nl,0.0,0.0,0.0,1.0,0.0,0.0
Google.nl,0.0,0.0,0.0,0.0,0.0,0.0
Greetz.nl,0.0,0.0,0.0,1.0,0.0,0.0
Groupon.nl,0.0,0.0,0.0,0.0,0.0,0.0
Han.nl,0.0,0.0,0.0,1.0,0.0,0.0
Hanze.nl,1.0,0.0,0.0,1.0,0.0,0.0
Hema.nl,0.0,0.0,0.0,1.0,0.0,0.0
Hhs.nl,0.0,0.0,0.0,1.0,0.0,0.0
Hostnet.nl,0.0,0.0,0.0,1.0,0.0,0.0
Hro.nl,0.0,0.0,0.0,0.0,0.0,0.0
Hu.nl,0.0,0.0,0.0,0.0,0.0,0.0
Huurwoningen.nl,0.0,0.0,0.0,1.0,0.0,0.0
Hva.nl,0.0,0.0,1.0,1.0,0.0,0.0
Icscards.nl,0.0,0.0,0.0,1.0,0.0,0.0
Iens.nl,0.0,0.0,0.0,1.0,0.0,0.0
Iex.nl,0.0,0.0,1.0,1.0,0.0,0.0
Indeed.nl,0.0,0.0,0.0,0.0,0.0,0.0
Independer.nl,0.0,0.0,0.0,1.0,0.0,0.0
Infonu.nl,0.0,0.0,0.0,1.0,0.0,0.0
Ing.nl,0.0,0.0,0.0,0.0,0.0,0.0
Inholland.nl,0.0,0.0,1.0,1.0,0.0,0.0
Intertoys.nl,0.0,0.0,0.0,1.0,0.0,0.0
Kamernet.nl,0.0,0.0,0.0,0.0,0.0,0.0
Karwei.nl,0.0,0.0,0.0,1.0,0.0,0.0
Kennisnet.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kieskeurig.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kinky.nl,0.0,0.0,0.0,1.0,0.0,0.0
Knab.nl,1.0,0.0,0.0,0.0,0.0,0.0
Knmi.nl,0.0,0.0,0.0,0.0,0.0,0.0
Koopplein.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kpnmail.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kras.nl,0.0,0.0,0.0,1.0,0.0,0.0
Kruidvat.nl,1.0,0.0,0.0,1.0,0.0,0.0
Kudtkoekiewet.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kvk.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kwantum.nl,0.0,0.0,0.0,1.0,0.0,0.0
Landal.nl,0.0,0.0,0.0,0.0,0.0,0.0
Leenbakker.nl,0.0,0.0,0.0,1.0,0.0,0.0
Leidenuniv.nl,0.0,0.0,0.0,1.0,0.0,0.0
Lexa.nl,0.0,0.0,0.0,0.0,0.0,0.0
Lidl.nl,0.0,0.0,0.0,1.0,0.0,0.0
Lindanieuws.nl,0.0,0.0,0.0,0.0,0.0,0.0
Maastrichtuniversity.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mailplus.nl,0.0,0.0,0.0,1.0,0.0,0.0
Makro.nl,0.0,0.0,0.0,0.0,0.0,0.0
Malmberg.nl,0.0,0.0,0.0,1.0,0.0,0.0
Marktplaats.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mediamarkt.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mensenlinq.nl,0.0,0.0,0.0,1.0,0.0,0.0
Metronieuws.nl,0.0,0.0,0.0,1.0,0.0,0.0
Mijnio.nl,0.0,0.0,0.0,0.0,0.0,0.0
